track,model,model_display_name,model_family,train_rows,train_normal_rows,train_dos_or_ddos_rows,test_rows,test_normal_rows,test_dos_or_ddos_rows,fit_seconds,predict_seconds,random_state,sample_limited,tn,fp,fn,tp,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,precision_normal,recall_normal,f1_normal,macro_f1,weighted_f1,mcc,false_positive_rate,false_negative_rate
A_realistic_imbalanced,dummy_majority,Dummy Majority,sanity_baseline,2861833,370,2861463,715528,107,715421,3.4286,0.1577,42,False,0,107,0,715421,0.99985046,0.5,0.99985046,1.0,0.99992522,0.0,0.0,0.0,0.49996261,0.9997757,0.0,1.0,0.0
A_realistic_imbalanced,gaussian_nb,Gaussian Naive Bayes,probabilistic_baseline,2861833,370,2861463,715528,107,715421,3.5039,0.3746,42,False,24,83,449,714972,0.99925649,0.61183573,0.99988393,0.9993724,0.9996281,0.05073996,0.22429907,0.08275862,0.54119336,0.99949099,0.10641014,0.77570093,0.0006276
A_realistic_imbalanced,sgd_logistic,SGD Logistic Regression,linear_baseline,2861833,370,2861463,715528,107,715421,52.0505,0.3243,42,False,107,0,7378,708043,0.98968873,0.9948436,1.0,0.98968719,0.99481687,0.01429526,1.0,0.02818757,0.51150222,0.99467232,0.11894466,0.0,0.01031281
A_realistic_imbalanced,decision_tree,Decision Tree,tree_baseline,2861833,370,2861463,715528,107,715421,8.4656,0.2353,42,False,105,2,13,715408,0.99997904,0.99064512,0.9999972,0.99998183,0.99998952,0.88983051,0.98130841,0.93333333,0.96666142,0.99997955,0.93444061,0.01869159,1.817e-05
B_balanced_controlled_1_to_1,dummy_majority,Dummy Majority,sanity_baseline,740,370,370,214,107,107,0.008,0.0039,42,False,107,0,107,0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.66666667,0.33333333,0.33333333,0.0,0.0,1.0
B_balanced_controlled_1_to_1,gaussian_nb,Gaussian Naive Bayes,probabilistic_baseline,740,370,370,214,107,107,0.0059,0.0031,42,False,78,29,0,107,0.86448598,0.86448598,0.78676471,1.0,0.88065844,1.0,0.72897196,0.84324324,0.86195084,0.86195084,0.75731725,0.27102804,0.0
B_balanced_controlled_1_to_1,sgd_logistic,SGD Logistic Regression,linear_baseline,740,370,370,214,107,107,0.0112,0.0042,42,False,107,0,2,105,0.99065421,0.99065421,1.0,0.98130841,0.99056604,0.98165138,1.0,0.99074074,0.99065339,0.99065339,0.98147988,0.0,0.01869159
B_balanced_controlled_1_to_1,decision_tree,Decision Tree,tree_baseline,740,370,370,214,107,107,0.0094,0.0043,42,False,107,0,1,106,0.9953271,0.9953271,1.0,0.99065421,0.99530516,0.99074074,1.0,0.99534884,0.995327,0.995327,0.99069747,0.0,0.00934579
B_balanced_controlled_1_to_1,random_forest,Random Forest,ensemble_baseline,740,370,370,214,107,107,0.4681,0.054,42,False,107,0,0,107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
C_balanced_controlled_1_to_2,dummy_majority,Dummy Majority,sanity_baseline,1110,370,740,321,107,214,0.0074,0.0034,42,False,0,107,0,214,0.66666667,0.5,0.66666667,1.0,0.8,0.0,0.0,0.0,0.4,0.53333333,0.0,1.0,0.0
C_balanced_controlled_1_to_2,gaussian_nb,Gaussian Naive Bayes,probabilistic_baseline,1110,370,740,321,107,214,0.0055,0.003,42,False,90,17,0,214,0.9470405,0.92056075,0.92640693,1.0,0.96179775,1.0,0.8411215,0.91370558,0.93775167,0.94576703,0.88273483,0.1588785,0.0
C_balanced_controlled_1_to_2,sgd_logistic,SGD Logistic Regression,linear_baseline,1110,370,740,321,107,214,0.0088,0.0037,42,False,107,0,4,210,0.98753894,0.99065421,1.0,0.98130841,0.99056604,0.96396396,1.0,0.98165138,0.98610871,0.98759448,0.97259753,0.0,0.01869159
C_balanced_controlled_1_to_2,decision_tree,Decision Tree,tree_baseline,1110,370,740,321,107,214,0.0094,0.004,42,False,107,0,3,211,0.99065421,0.99299065,1.0,0.98598131,0.99294118,0.97272727,1.0,0.98617512,0.98955815,0.99068582,0.97933187,0.0,0.01401869
C_balanced_controlled_1_to_2,random_forest,Random Forest,ensemble_baseline,1110,370,740,321,107,214,0.4595,0.0572,42,False,107,0,0,214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
