track,model,error_type,count,rate_of_track_test,top_proto,top_category,mean_stddev,mean_N_IN_Conn_P_SrcIP,mean_min,mean_state_number,mean_mean,mean_N_IN_Conn_P_DstIP,mean_drate,mean_srate,mean_max,train_rows,test_rows,fit_predict_seconds
A_realistic_imbalanced,decision_tree,FN_attack_as_normal,13,1.81684e-05,arp:12; tcp:1,DDoS:8; DoS:5,0.20689054,5.69230769,0.49035577,1.92307692,0.92305592,18.07692308,0.195692,0.19837262,1.11070646,2861833,715528,9.3756
A_realistic_imbalanced,decision_tree,FP_normal_as_attack,2,2.7951e-06,tcp:1; udp:1,Normal:2,0.8762945,13.5,0.0833555,4.0,0.857213,5.5,0.107183,0.1397385,1.9877595,2861833,715528,9.3756
A_realistic_imbalanced,decision_tree,TN_normal_correct,105,0.0001467448,udp:85; tcp:9; arp:9,Normal:105,0.03063368,20.74285714,0.27250134,2.91428571,0.51210026,8.6,0.40372701,3179.85710589,0.53745998,2861833,715528,9.3756
A_realistic_imbalanced,decision_tree,TP_attack_correct,715408,0.9998322917,udp:396560; tcp:318833; icmp:8,DDoS:385301; DoS:330107,0.9105404,82.95998088,1.04428976,3.15770441,2.28981836,92.65868008,0.00593933,0.50833267,3.09951692,2861833,715528,9.3756
B_balanced_controlled_1_to_1,decision_tree,FN_attack_as_normal,1,0.0046728972,udp:1,DoS:1,0.017415,19.0,4.081593,4.0,4.102134,19.0,0.0,0.243478,4.124254,740,214,0.0163
B_balanced_controlled_1_to_1,decision_tree,TN_normal_correct,107,0.5,udp:86; tcp:10; arp:9,Normal:107,0.04644042,20.60747664,0.26896591,2.93457944,0.51855096,8.54205607,0.39818413,3120.4231364,0.56456838,740,214,0.0163
B_balanced_controlled_1_to_1,decision_tree,TP_attack_correct,106,0.4953271028,udp:65; tcp:41,DDoS:57; DoS:49,1.07299991,78.8490566,1.07940413,3.25471698,2.54386868,90.70754717,0.0047791,0.44267682,3.5041087,740,214,0.0163
B_balanced_controlled_1_to_1,random_forest,TN_normal_correct,107,0.5,udp:86; tcp:10; arp:9,Normal:107,0.04644042,20.60747664,0.26896591,2.93457944,0.51855096,8.54205607,0.39818413,3120.4231364,0.56456838,740,214,0.3672
B_balanced_controlled_1_to_1,random_forest,TP_attack_correct,107,0.5,udp:66; tcp:41,DDoS:57; DoS:50,1.06313463,78.28971963,1.10746197,3.26168224,2.55843191,90.03738318,0.00473444,0.44081515,3.50990445,740,214,0.3672
C_balanced_controlled_1_to_2,decision_tree,FN_attack_as_normal,3,0.0093457944,udp:3,DoS:3,0.43372867,19.33333333,2.671366,4.0,3.17138267,19.33333333,0.0,0.33569367,3.80518267,1110,321,0.0159
C_balanced_controlled_1_to_2,decision_tree,TN_normal_correct,107,0.3333333333,udp:86; tcp:10; arp:9,Normal:107,0.04644042,20.60747664,0.26896591,2.93457944,0.51855096,8.54205607,0.39818413,3120.4231364,0.56456838,1110,321,0.0159
C_balanced_controlled_1_to_2,decision_tree,TP_attack_correct,211,0.6573208723,udp:119; tcp:92,DDoS:117; DoS:94,0.96014982,81.98104265,0.99753526,3.14691943,2.31347664,93.46445498,0.00768577,0.48204129,3.1579606,1110,321,0.0159
C_balanced_controlled_1_to_2,random_forest,TN_normal_correct,107,0.3333333333,udp:86; tcp:10; arp:9,Normal:107,0.04644042,20.60747664,0.26896591,2.93457944,0.51855096,8.54205607,0.39818413,3120.4231364,0.56456838,1110,321,0.325
C_balanced_controlled_1_to_2,random_forest,TP_attack_correct,214,0.6666666667,udp:122; tcp:92,DDoS:117; DoS:97,0.95277008,81.10280374,1.02100017,3.1588785,2.32550336,92.42523364,0.00757802,0.47998969,3.1670338,1110,321,0.325
